machine,raw_string,string,command,language,time_str,milliseconds,seconds,minutes,nthreads,max_threads,nreps,sec_total,min_total,n_per_min,n_per_min3
macm1,julia scripts/jlspeed.jl $nreps  3.89s user 0.33s system 99% cpu 4.251 total 1000 nreps ,julia scripts/jlspeed.jl $nreps  3.89s user 0.33s system 99% cpu 4.251 total 1000 nreps,julia,julia,4.251,251,4,0,1,8,1000,4.251,0.07085,14114.3260409315,14.1143260409315
macm1,python scripts/jaxspeed.py $nreps  3.86s user 0.55s system 188% cpu 2.338 total 1000 nreps ,python scripts/jaxspeed.py $nreps  3.86s user 0.55s system 188% cpu 2.338 total 1000 nreps,python,jax,2.338,338,2,0,8,8,1000,2.338,0.0389666666666667,25662.9597946963,25.6629597946963
macm1,Rscript scripts/rspeed.R $nreps  2.53s user 0.25s system 96% cpu 2.891 total 1000 nreps ,Rscript scripts/rspeed.R $nreps  2.53s user 0.25s system 96% cpu 2.891 total 1000 nreps,Rscript,r,2.891,891,2,0,1,8,1000,2.891,0.0481833333333333,20754.0643375994,20.7540643375994
macm1,julia -t $nthreads scripts/jlspeed.jl $nreps  15.44s user 0.31s system 489% cpu 3.215 total 1000 nreps 8 nthreads,julia -t $nthreads scripts/jlspeed.jl $nreps  15.44s user 0.31s system 489% cpu 3.215 total 1000 nreps 8 nthreads,julia,julia,3.215,215,3,0,8,8,1000,3.215,0.0535833333333333,18662.5194401244,18.6625194401244
macm1,Rscript scripts/rspeed.R $nreps $nthreads  0.60s user 0.08s system 26% cpu 2.528 total 1000 nreps 8 nthreads,Rscript scripts/rspeed.R $nreps $nthreads  0.60s user 0.08s system 26% cpu 2.528 total 1000 nreps 8 nthreads,Rscript,r,2.528,528,2,0,8,8,1000,2.528,0.0421333333333333,23734.1772151899,23.7341772151899
macm1,julia scripts/jlspeed.jl $nreps  9.99s user 0.57s system 106% cpu 9.874 total 10000 nreps ,julia scripts/jlspeed.jl $nreps  9.99s user 0.57s system 106% cpu 9.874 total 10000 nreps,julia,julia,9.874,874,9,0,1,8,10000,9.874,0.164566666666667,60765.6471541422,60.7656471541422
macm1,python scripts/jaxspeed.py $nreps  9.08s user 2.73s system 221% cpu 5.328 total 10000 nreps ,python scripts/jaxspeed.py $nreps  9.08s user 2.73s system 221% cpu 5.328 total 10000 nreps,python,jax,5.328,328,5,0,8,8,10000,5.328,0.0888,112612.612612613,112.612612612613
macm1,Rscript scripts/rspeed.R $nreps  24.56s user 1.91s system 99% cpu 26.609 total 10000 nreps ,Rscript scripts/rspeed.R $nreps  24.56s user 1.91s system 99% cpu 26.609 total 10000 nreps,Rscript,r,26.609,609,26,0,1,8,10000,26.609,0.443483333333333,22548.7616971701,22.5487616971701
macm1,julia -t $nthreads scripts/jlspeed.jl $nreps  25.45s user 1.49s system 556% cpu 4.841 total 10000 nreps 8 nthreads,julia -t $nthreads scripts/jlspeed.jl $nreps  25.45s user 1.49s system 556% cpu 4.841 total 10000 nreps 8 nthreads,julia,julia,4.841,841,4,0,8,8,10000,4.841,0.0806833333333334,123941.334435034,123.941334435034
macm1,Rscript scripts/rspeed.R $nreps $nthreads  0.89s user 0.10s system 11% cpu 8.251 total 10000 nreps 8 nthreads,Rscript scripts/rspeed.R $nreps $nthreads  0.89s user 0.10s system 11% cpu 8.251 total 10000 nreps 8 nthreads,Rscript,r,8.251,251,8,0,8,8,10000,8.251,0.137516666666667,72718.4583686826,72.7184583686826
macm1,julia scripts/jlspeed.jl $nreps  70.52s user 4.64s system 100% cpu 1:14.90 total 100000 nreps ,julia scripts/jlspeed.jl $nreps  70.52s user 4.64s system 100% cpu 1:14.90 total 100000 nreps,julia,julia,1:14.90,90,1,1,1,8,100000,61.09,1.01816666666667,98215.7472581437,98.2157472581437
macm1,python scripts/jaxspeed.py $nreps  64.87s user 22.55s system 222% cpu 39.378 total 100000 nreps ,python scripts/jaxspeed.py $nreps  64.87s user 22.55s system 222% cpu 39.378 total 100000 nreps,python,jax,39.378,378,39,0,8,8,100000,39.378,0.6563,152369.34328813,152.36934328813
macm1,Rscript scripts/rspeed.R $nreps  255.77s user 14.00s system 99% cpu 4:30.21 total 100000 nreps ,Rscript scripts/rspeed.R $nreps  255.77s user 14.00s system 99% cpu 4:30.21 total 100000 nreps,Rscript,r,4:30.21,21,4,4,1,8,100000,244.021,4.06701666666667,24588.0477499887,24.5880477499887
macm1,julia -t $nthreads scripts/jlspeed.jl $nreps  117.09s user 14.27s system 604% cpu 21.718 total 100000 nreps 8 nthreads,julia -t $nthreads scripts/jlspeed.jl $nreps  117.09s user 14.27s system 604% cpu 21.718 total 100000 nreps 8 nthreads,julia,julia,21.718,718,21,0,8,8,100000,21.718,0.361966666666667,276268.53301409,276.26853301409
macm1,Rscript scripts/rspeed.R $nreps $nthreads  3.61s user 0.27s system 6% cpu 1:02.89 total 100000 nreps 8 nthreads,Rscript scripts/rspeed.R $nreps $nthreads  3.61s user 0.27s system 6% cpu 1:02.89 total 100000 nreps 8 nthreads,Rscript,r,1:02.89,89,1,1,8,8,100000,61.089,1.01815,98217.3550066297,98.2173550066297
macm1,julia scripts/jlspeed.jl $nreps  679.32s user 57.44s system 99% cpu 12:20.09 total 1000000 nreps ,julia scripts/jlspeed.jl $nreps  679.32s user 57.44s system 99% cpu 12:20.09 total 1000000 nreps,julia,julia,12:20.09,9,12,12,1,8,1000000,732.009,12.20015,81966.205333541,81.966205333541
macm1,python scripts/jaxspeed.py $nreps  622.34s user 234.74s system 223% cpu 6:23.55 total 1000000 nreps ,python scripts/jaxspeed.py $nreps  622.34s user 234.74s system 223% cpu 6:23.55 total 1000000 nreps,python,jax,6:23.55,55,6,6,8,8,1000000,366.055,6.10091666666667,163909.794976165,163.909794976165
macm1,Rscript scripts/rspeed.R $nreps  2723.45s user 149.66s system 99% cpu 47:57.95 total 1000000 nreps ,Rscript scripts/rspeed.R $nreps  2723.45s user 149.66s system 99% cpu 47:57.95 total 1000000 nreps,Rscript,r,47:57.95,95,47,47,1,8,1000000,2867.095,47.7849166666667,20927.1056592126,20.9271056592126
